[2026-02-10 21:23:21] | CONF: 0.51 | ERROR: Feb 10 21:23:21 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:23:28] | CONF: 0.51 | ERROR: Feb 10 21:23:27 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:23:32] | CONF: 0.51 | ERROR: Feb 10 21:23:32 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:23:59] | CONF: 0.51 | ERROR: Feb 10 21:23:58 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:24:01] | CONF: 0.51 | ERROR: Feb 10 21:24:01 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:24:11] | CONF: 0.46 | ERROR: Feb 10 21:24:11 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:24:15] | CONF: 0.46 | ERROR: Feb 10 21:24:14 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:24:33] | CONF: 0.46 | ERROR: Feb 10 21:24:32 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:24:40] | CONF: 0.46 | ERROR: Feb 10 21:24:40 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:24:50] | CONF: 0.46 | ERROR: Feb 10 21:24:49 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:24:59] | CONF: 0.51 | ERROR: Feb 10 21:24:59 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:25:18] | CONF: 0.46 | ERROR: Feb 10 21:25:17 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:25:24] | CONF: 0.46 | ERROR: Feb 10 21:25:24 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:25:51] | CONF: 0.46 | ERROR: Feb 10 21:25:51 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-10 21:26:13] | CONF: 0.51 | ERROR: Feb 10 21:26:13 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-10 21:26:30] | CONF: 0.46 | ERROR: Feb 10 21:26:30 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:03:33] | CONF: 0.46 | ERROR: Feb 11 09:03:32 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:03:48] | CONF: 0.46 | ERROR: Feb 11 09:03:48 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:04:01] | CONF: 0.46 | ERROR: Feb 11 09:04:00 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:04:40] | CONF: 0.51 | ERROR: Feb 11 09:04:39 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
[2026-02-11 09:04:55] | CONF: 0.46 | ERROR: Feb 11 09:04:54 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:04:58] | CONF: 0.46 | ERROR: Feb 11 09:04:57 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:05:14] | CONF: 0.46 | ERROR: Feb 11 09:05:13 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:05:37] | CONF: 0.46 | ERROR: Feb 11 09:05:37 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:05:47] | CONF: 0.46 | ERROR: Feb 11 09:05:47 server1 kernel: [123.45] out of memory: kill process | FIX: python scripts/clear_ram.py
[2026-02-11 09:05:50] | CONF: 0.51 | ERROR: Feb 11 09:05:50 server1 sshd[1234]: Failed password for root from 192.168.1.50 | FIX: python scripts/block_ip.py
